    1,PC2,PC3,id,color
M52_Lung_24M_F150_6,14.9999181787518,6.81021468839478,18.640947414207,M52_Lung_24M_F150_6,#bebada
M53_Lung_18M_F150_4,17.173532707465,-0.0835285391001514,5.0163056736689,M53_Lung_18M_F150_4,#bebada
M54_Lung_18M_F150_5,21.5541745337667,-4.94886457015118,3.0897478914745,M54_Lung_18M_F150_5,#bebada
M55_Lung_18M_F150_6,23.4017543479763,3.70511437590291,1.42226213446065,M55_Lung_18M_F150_6,#bebada
M56_Lung_12M_F150_4,17.6906319642081,4.37828484684661,9.36004461627504,M56_Lung_12M_F150_4,#bebada
M57_Lung_12M_F150_5,28.0597149458359,-0.132175881581048,1.38313502249384,M57_Lung_12M_F150_5,#bebada
M58_Lung_12M_F150_6,17.4788310884216,7.78309244928862,8.93012070289053,M58_Lung_12M_F150_6,#bebada
M59_Lung_09M_F150_4,20.3055900450343,2.29905192448551,12.8354896080636,M59_Lung_09M_F150_4,#bebada
M60_Lung_09M_F150_5,15.9857872133757,5.0304614662026,11.5652074888528,M60_Lung_09M_F150_5,#bebada
M62_Lung_04M_F150_4,24.2050560564305,10.8576027885933,10.3232432601028,M62_Lung_04M_F150_4,#bebada
M63_Lung_04M_F150_5,24.1847885062118,8.79069581072372,15.7030361749636,M63_Lung_04M_F150_5,#bebada
M64_Lung_04M_F150_6,23.0587509956226,5.47622323738948,6.34841295483728,M64_Lung_04M_F150_6,#bebada
M65_Lung_24M_F10_1,8.58271322146163,-2.66527904958662,2.64407759421662,M65_Lung_24M_F10_1,#ffffb3
M66_Lung_24M_F10_2,-7.05955466799769,-9.66901182995555,-2.90634382382438,M66_Lung_24M_F10_2,#ffffb3
M67_Lung_24M_F10_3,-14.0869169302979,-9.71342628473371,-1.0403657325053,M67_Lung_24M_F10_3,#ffffb3
M68_Lung_18M_F10_1,-11.380752055122,-7.62422466038878,-4.39597710041514,M68_Lung_18M_F10_1,#ffffb3
M70_Lung_18M_F10_2,0.917352388210533,-2.3363811170069,-0.980500789697268,M70_Lung_18M_F10_2,#ffffb3
M71_Lung_12M_F10_1,3.43154375849858,-4.89555294380715,-3.33651206694099,M71_Lung_12M_F10_1,#ffffb3
M73_Lung_12M_F10_2,9.65118065656411,-6.1716955405994,-8.26117679198847,M73_Lung_12M_F10_2,#ffffb3
M74_Lung_09M_F10_1,0.86266581371889,-3.82036892290837,1.74388574194628,M74_Lung_09M_F10_1,#ffffb3
M75_Lung_09M_F10_2,-0.739406389747204,-2.98405281052747,-3.68138627159624,M75_Lung_09M_F10_2,#ffffb3
M76_Lung_09M_F10_3,-10.8915764470294,-6.35316139824256,-0.287583271299283,M76_Lung_09M_F10_3,#ffffb3
M77_Lung_04M_F10_1,3.46379277078052,1.61168501350059,2.88353120830391,M77_Lung_04M_F10_1,#ffffb3
M79_Lung_04M_F10_2,-14.6030225798461,-0.410587494151951,-9.99973814845547,M79_Lung_04M_F10_2,#ffffb3
M80_Lung_24M_F10_4,4.51477689751623,-11.0803315758195,3.30684584676329,M80_Lung_24M_F10_4,#ffffb3
M81_Lung_24M_F10_5,15.1067430628504,-3.40209652078809,11.6443753397148,M81_Lung_24M_F10_5,#ffffb3
